Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Rua Honório de Barros, Flamengo","
        60 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 750,R$ 230,"
    R$ 629.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.300,R$ 2.994,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 800,NULL,"
    R$ 595.000
    /venda"
"Rua Honório de Barros, Flamengo","
        62 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 853,R$ 1.582,"
    R$ 630.000
    /venda"
"Rua Honório de Barros, Flamengo","
        68 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 1.116,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        74 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 900,R$ 157,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        74 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 852,R$ 160,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.100,R$ 2.820,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        74 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 852,R$ 160,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        68 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 870,R$ 1.160,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 1.000,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.700,R$ 307,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.100,R$ 2.820,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        74 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 750,R$ 1.160,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 1.200,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 980,R$ 2.994,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 900,R$ 282,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        48 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 638,R$ 930,"
    R$ 630.000
    /venda"
"Rua Honório de Barros, Flamengo","
        82 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 995,R$ 177,"
    R$ 800.000
    /venda"
"Rua Honório de Barros, Flamengo","
        68 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 769,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 1.247,"
    R$ 680.000
    /venda"
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        1 
        ","
        1 
        ",R$ 1.300,R$ 300,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        91 m²
        ","
        3 
        ","
        1 
        ",NULL,R$ 650,R$ 2.120,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.100,R$ 299,"
    R$ 1.300.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.960,R$ 307,"
    R$ 1.100.000
    /venda"
"Flamengo, Rio de Janeiro","
        95 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 750,NULL,"
    R$ 950.000
    /venda"
"Rua Honório de Barros, Flamengo","
        82 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 800,R$ 1.344,"
    R$ 730.000
    /venda"
"Flamengo, Rio de Janeiro","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 288,"
    R$ 1.240.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        1 
        ","
        1 
        ",R$ 980,R$ 2.820,"
    R$ 1.200.000
    /venda"
"Flamengo, Rio de Janeiro","
        135 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 1.900,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        100 m²
        ","
        3 
        ","
        4 
        ",NULL,R$ 1.000,R$ 1.800,"
    R$ 1.100.000
    /venda"
"Flamengo, Rio de Janeiro","
        134 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.700,R$ 307,"
    R$ 1.100.000
    /venda"
"Flamengo, Rio de Janeiro","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 870,R$ 1.160,"
    R$ 721.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.920,R$ 307,"
    R$ 1.100.000
    /venda"
"Flamengo, Rio de Janeiro","
        72 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 840,R$ 120,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.960,NULL,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        68 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 870,R$ 1.247,"
    R$ 680.000
    /venda"
"Rua Honório de Barros, Flamengo","
        48 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 870,R$ 100,"
    R$ 620.000
    /venda"
"Rua Honório de Barros, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.075,R$ 2.800,"
    R$ 1.200.000
    /venda"
"Rua Honório de Barros, Flamengo","
        68 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 1.100,R$ 1.200,"
    R$ 680.000
    /venda"
"Flamengo, Rio de Janeiro","
        82 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 900,R$ 1.545,"
    R$ 750.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.330,NULL,"
    R$ 1.200.000
    /venda"
"Rua Dona Mariana, Botafogo","
        109 - 209 m²
        ","
        3 - 4 
        ","
        2 - 4 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Sorocaba, Botafogo","
        101 - 129 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.194.000
    /venda"
"Rua São Clemente, Botafogo","
        244 m²
        ","
        2 - 4 
        ","
        2 - 4 
        ","
        1 - 3 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.700,R$ 370,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.960,R$ 3.070,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        97 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 880,R$ 2.258,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.960,R$ 307,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        134 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.700,R$ 3.684,"
    R$ 1.100.000
    /venda"
"Rua Honório de Barros, Flamengo","
        50 m²
        ","
        1 
        ","
        1 
        ","
        1 
        ",R$ 780,R$ 82,"
    R$ 590.000
    /venda"
