Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        110 m²
        ","
        2 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 850.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        104 m²
        ","
        3 
        ","
        1 
        ",NULL,R$ 1.117,R$ 2.098,"
    R$ 790.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.365,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.450,R$ 3.600,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.450,R$ 360,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        110 m²
        ","
        3 
        ","
        1 
        ",NULL,R$ 1.000,R$ 2.200,"
    R$ 784.000
    /venda"
"Flamengo, Rio de Janeiro","
        110 m²
        ","
        2 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 850.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 426,R$ 1.800,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        150 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.800,R$ 400,"
    R$ 1.200.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 2.000,R$ 2.000,"
    R$ 1.680.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 427,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 3.270,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        150 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.800,R$ 426,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        165 m²
        ","
        3 
        ","
        1 
        ","
        1 
        ",R$ 2.100,R$ 270,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 2.352,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 2.000,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        150 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.800,"
    R$ 1.240.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 2.000,R$ 2.000,"
    R$ 1.680.000
    /venda"
"Flamengo, Rio de Janeiro","
        110 m²
        ","
        2 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 850.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        165 m²
        ","
        3 
        ","
        1 
        ","
        1 
        ",R$ 2.100,R$ 270,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        110 m²
        ","
        2 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 850.000
    /venda"
"Flamengo, Rio de Janeiro","
        150 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.800,R$ 400,"
    R$ 1.200.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 3.270,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.450,R$ 3.600,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.450,R$ 360,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 2.352,R$ 4.268,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 436,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        150 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.800,R$ 426,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 426,R$ 1.800,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        156 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.800,R$ 427,"
    R$ 1.490.000
    /venda"
"Rua Princesa Januaria, Flamengo","
        156 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,R$ 4.365,"
    R$ 1.490.000
    /venda"
