Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Senador Vergueiro, Flamengo","
        67 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 817,R$ 154,"
    R$ 600.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        30 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 417,R$ 250,"
    R$ 450.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        60 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 600,R$ 1.280,"
    R$ 575.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        53 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 417,R$ 103,"
    R$ 560.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        45 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 518,R$ 99,"
    R$ 550.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        50 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 635,R$ 1.071,"
    R$ 550.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        62 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 700,R$ 1.500,"
    R$ 550.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        65 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 800,R$ 1.400,"
    R$ 680.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        45 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 500,R$ 1.000,"
    R$ 400.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 800,R$ 1.000,"
    R$ 630.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        72 m²
        ","
        2 
        ","
        1 
        ",NULL,NULL,NULL,"
    R$ 354.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 517,R$ 52,"
    R$ 695.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        65 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 800,R$ 1.400,"
    R$ 680.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        65 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 600,R$ 1.690,"
    R$ 600.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 612,NULL,"
    R$ 698.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        29 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 434,NULL,"
    R$ 350.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        75 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 883,R$ 1.550,"
    R$ 620.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        72 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 800,R$ 1.000,"
    R$ 598.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 700,R$ 120,"
    R$ 514.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        41 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 440,R$ 752,"
    R$ 650.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 850,NULL,"
    R$ 550.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Real Grandeza, Botafogo","
        66 m²
        ","
        2 - 3 
        ","
        1 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.012.000
    /venda"
"Rua das Marrecas, Centro","
        32 - 66 m²
        ","
        1 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Senador Vergueiro, Flamengo","
        30 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 417,R$ 250,"
    R$ 450.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        72 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 700,R$ 1.866,"
    R$ 760.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        68 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 800,R$ 1.842,"
    R$ 870.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        60 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 490,R$ 114,"
    R$ 850.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        65 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 800,R$ 1.400,"
    R$ 680.000
    /venda"
"Rua Senador Vergueiro, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 700,NULL,"
    R$ 880.000
    /venda"
