Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Fernando Osório, Flamengo","
        60 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 498,R$ 100,"
    R$ 630.000
    /venda"
"Rua Fernando Osório, Flamengo","
        55 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 480,R$ 652,"
    R$ 690.000
    /venda"
"Rua Fernando Osório, Flamengo","
        98 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.520,R$ 180,"
    R$ 850.000
    /venda"
"Rua Fernando Osório, Flamengo","
        57 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 657,R$ 971,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        70 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 928,R$ 120,"
    R$ 750.000
    /venda"
"Flamengo, Rio de Janeiro","
        50 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 490,NULL,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        50 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 500,R$ 927,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        57 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 657,R$ 626,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        56 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 483,R$ 549,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        80 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 1.789,"
    R$ 920.000
    /venda"
"Rua Fernando Osório, Flamengo","
        90 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 1.497,"
    R$ 950.000
    /venda"
"Rua Fernando Osório, Flamengo","
        77 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.300,R$ 150,"
    R$ 970.000
    /venda"
"Rua Fernando Osório, Flamengo","
        57 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 657,R$ 626,"
    R$ 680.000
    /venda"
"Rua Fernando Osório, Flamengo","
        57 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 657,R$ 626,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        50 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 500,R$ 998,"
    R$ 650.000
    /venda"
"Rua Fernando Osório, Flamengo","
        77 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.200,R$ 1.094,"
    R$ 980.000
    /venda"
"Rua Fernando Osório, Flamengo","
        84 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 1.497,"
    R$ 895.000
    /venda"
"Rua Fernando Osório, Flamengo","
        81 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 170,"
    R$ 930.000
    /venda"
"Rua Fernando Osório, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.200,R$ 1.000,"
    R$ 930.000
    /venda"
"Rua Fernando Osório, Flamengo","
        100 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.725,NULL,"
    R$ 1.100.000
    /venda"
"Rua Fernando Osório, Flamengo","
        84 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.200,R$ 1.490,"
    R$ 890.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Fernando Osório, Flamengo","
        80 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.230,R$ 2.278,"
    R$ 930.000
    /venda"
"Rua Fernando Osório, Flamengo","
        55 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 480,R$ 652,"
    R$ 700.000
    /venda"
"Rua Fernando Osório, Flamengo","
        98 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.520,R$ 180,"
    R$ 748.000
    /venda"
"Flamengo, Rio de Janeiro","
        77 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 1.320,R$ 2.220,"
    R$ 950.000
    /venda"
"Flamengo, Rio de Janeiro","
        77 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.200,R$ 1.497,"
    R$ 950.000
    /venda"
