Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Marquês de Abrantes, Flamengo","
        84 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 800,R$ 1.773,"
    R$ 780.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        65 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 800,R$ 1.500,"
    R$ 650.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        40 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 518,R$ 558,"
    R$ 470.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        75 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 850,R$ 1.720,"
    R$ 690.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        78 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 867,R$ 1.700,"
    R$ 799.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        79 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 827,R$ 164,"
    R$ 930.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        84 m²
        ","
        2 
        ","
        3 
        ",NULL,R$ 800,R$ 2.200,"
    R$ 795.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        76 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 680,R$ 1.714,"
    R$ 620.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        58 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 673,R$ 115,"
    R$ 585.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        48 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 596,R$ 1.080,"
    R$ 550.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        79 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 867,R$ 1.766,"
    R$ 860.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        68 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 800,R$ 2.000,"
    R$ 865.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        76 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 897,R$ 1.756,"
    R$ 645.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        80 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 770,R$ 130,"
    R$ 650.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        74 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 780,R$ 1.770,"
    R$ 690.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 830,R$ 176,"
    R$ 695.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        77 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 680,R$ 1.714,"
    R$ 650.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        38 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 850,R$ 742,"
    R$ 440.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        76 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 888,R$ 175,"
    R$ 850.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        48 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 570,R$ 1.047,"
    R$ 500.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 750,R$ 120,"
    R$ 697.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua São Clemente, Botafogo","
        244 m²
        ","
        2 - 4 
        ","
        2 - 4 
        ","
        1 - 3 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Henrique de Novais, Botafogo","
        78 - 113 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Rua Marquês de Abrantes, Flamengo","
        84 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 800,R$ 1.773,"
    R$ 780.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 680,R$ 1.120,"
    R$ 670.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        37 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 502,R$ 680,"
    R$ 485.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        70 m²
        ","
        2 
        ","
        1 
        ",NULL,NULL,NULL,"
    R$ 280.000
    /venda"
"Rua Marquês de Abrantes, Flamengo","
        68 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 658,R$ 695,"
    R$ 550.000
    /venda"
