Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Avenida Rui Barbosa, Flamengo","
        104 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 845,R$ 3.537,"
    R$ 850.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        110 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 900,R$ 200,"
    R$ 1.250.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        116 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 900,R$ 325,"
    R$ 950.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        115 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 770,R$ 400,"
    R$ 820.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        95 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 800,R$ 2.851,"
    R$ 900.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        100 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 830,R$ 1.500,"
    R$ 760.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        149 m²
        ","
        3 
        ","
        5 
        ","
        2 
        ",R$ 1.600,R$ 2.500,"
    R$ 2.900.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        107 m²
        ","
        3 
        ","
        1 
        ",NULL,R$ 831,R$ 340,"
    R$ 990.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        104 m²
        ","
        3 
        ","
        1 
        ",NULL,R$ 640,R$ 3.152,"
    R$ 850.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        98 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 813,R$ 303,"
    R$ 1.200.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        98 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 813,R$ 303,"
    R$ 1.150.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        105 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 813,R$ 3.700,"
    R$ 970.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        104 m²
        ","
        2 
        ","
        1 
        ",NULL,R$ 800,R$ 3.835,"
    R$ 850.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        104 m²
        ","
        2 
        ","
        3 
        ",NULL,R$ 820,R$ 331,"
    R$ 850.000
    /venda"
"Flamengo, Rio de Janeiro","
        110 m²
        ","
        3 
        ","
        1 
        ","
        1 
        ",R$ 1.000,R$ 800,"
    R$ 1.150.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        97 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 900,R$ 100,"
    R$ 950.000
    /venda"
"Flamengo, Rio de Janeiro","
        128 m²
        ","
        2 
        ","
        1 
        ","
        1 
        ",R$ 1.150,R$ 5.257,"
    R$ 1.700.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        97 m²
        ","
        2 
        ","
        2 
        ","
        1 
        ",R$ 1.000,R$ 180,"
    R$ 950.000
    /venda"
"Botafogo, Rio de Janeiro","
        129 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 1.100,R$ 5.257,"
    R$ 2.000.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        110 m²
        ","
        4 
        ","
        3 
        ",NULL,R$ 850,R$ 350,"
    R$ 1.090.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        150 m²
        ","
        3 
        ","
        3 
        ","
        2 
        ",R$ 1.800,NULL,"
    R$ 3.200.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Dona Mariana, Botafogo","
        109 - 209 m²
        ","
        3 - 4 
        ","
        2 - 4 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Rui Barbosa, Flamengo","
        98 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.221,R$ 378,"
    R$ 900.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        164 m²
        ","
        3 
        ","
        4 
        ","
        1 
        ",R$ 1.694,R$ 6.308,"
    R$ 2.200.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        98 m²
        ","
        3 
        ","
        2 
        ",NULL,NULL,NULL,"
    R$ 980.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        148 m²
        ","
        3 
        ","
        5 
        ","
        2 
        ",R$ 1.700,NULL,"
    R$ 2.899.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        185 m²
        ","
        3 
        ","
        4 
        ",NULL,R$ 900,NULL,"
    R$ 1.490.000
    /venda"
"Flamengo, Rio de Janeiro","
        182 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.450,R$ 6.200,"
    R$ 1.750.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        100 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.000,R$ 1.800,"
    R$ 950.000
    /venda"
"Flamengo, Rio de Janeiro","
        97 m²
        ","
        2 
        ","
        3 
        ","
        1 
        ",R$ 968,R$ 2.970,"
    R$ 995.000
    /venda"
"Avenida Rui Barbosa, Flamengo","
        171 m²
        ","
        4 
        ","
        4 
        ","
        1 
        ",R$ 1.150,R$ 4.190,"
    R$ 1.800.000
    /venda"
