Address,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
"Rua das Laranjeiras, Laranjeiras","
        71 - 201 m²
        ","
        2 - 4 
        ","
        1 
        ",NULL,NULL,NULL,"
    Sob consulta
  "
"Rua Pereira da Silva, Laranjeiras","
        73 - 124 m²
        ","
        2 - 3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 960.000
    /venda"
"Rua Voluntários da Pátria, Botafogo","
        113 - 116 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",NULL,NULL,"
    R$ 1.665.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        155 m²
        ","
        3 
        ","
        3 
        ",NULL,R$ 1.200,R$ 3.450,"
    R$ 1.050.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        210 m²
        ","
        4 
        ","
        3 
        ","
        1 
        ",R$ 2.000,R$ 460,"
    R$ 2.300.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.246,R$ 280,"
    R$ 1.080.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        180 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.800,NULL,"
    R$ 1.375.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        80 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 650,R$ 133,"
    R$ 700.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        160 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.550,R$ 350,"
    R$ 1.780.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        50 m²
        ","
        1 
        ","
        2 
        ","
        1 
        ",R$ 784,R$ 1.800,"
    R$ 715.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        65 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 667,R$ 1.500,"
    R$ 600.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        125 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.490,R$ 258,"
    R$ 1.249.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        167 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.500,R$ 390,"
    R$ 995.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        66 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 700,R$ 1.632,"
    R$ 600.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        150 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 900,NULL,"
    R$ 1.700.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.198,R$ 2.832,"
    R$ 1.080.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        155 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.570,R$ 337,"
    R$ 1.830.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        90 m²
        ","
        2 
        ","
        2 
        ",NULL,R$ 523,R$ 1.500,"
    R$ 920.000
    /venda"
"Flamengo, Rio de Janeiro","
        66 m²
        ","
        1 
        ","
        2 
        ",NULL,R$ 638,R$ 592,"
    R$ 650.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        190 m²
        ","
        3 
        ","
        3 
        ","
        2 
        ",R$ 1.900,NULL,"
    R$ 1.750.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        180 m²
        ","
        3 
        ","
        5 
        ","
        2 
        ",R$ 2.200,NULL,"
    R$ 1.780.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.198,R$ 243,"
    R$ 1.100.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        134 m²
        ","
        3 
        ","
        2 
        ",NULL,R$ 1.189,R$ 2.650,"
    R$ 1.080.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        180 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.780,NULL,"
    R$ 1.500.000
    /venda"
"Rua Urbano Santos, Urca","
        163 - 165 m²
        ","
        3 
        ","
        3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.855.000
    /venda"
"Avenida Lauro Sodré, Botafogo","
        72 - 339 m²
        ","
        2 - 4 
        ","
        1 - 2 
        ","
        1 - 2 
        ",NULL,NULL,"
    Sob consulta
  "
"Avenida Lauro Sodré, Botafogo","
        72 m²
        ","
        2 - 3 
        ","
        1 - 3 
        ","
        1 - 2 
        ",NULL,NULL,"
    R$ 1.204.900
    /venda"
"Rua Senador Euzebio, Flamengo","
        180 m²
        ","
        3 
        ","
        2 
        ","
        1 
        ",R$ 1.780,NULL,"
    R$ 1.500.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        176 m²
        ","
        3 
        ","
        4 
        ","
        2 
        ",R$ 2.171,R$ 537,"
    R$ 1.800.000
    /venda"
"Rua Senador Euzebio, Flamengo","
        130 m²
        ","
        3 
        ","
        3 
        ","
        1 
        ",R$ 1.500,R$ 280,"
    R$ 1.245.000
    /venda"
"Flamengo, Rio de Janeiro","
        70 m²
        ","
        1 
        ","
        1 
        ",NULL,R$ 675,R$ 1.632,"
    R$ 600.000
    /venda"
