Street,Area,Dorms,Baths,Parking Slots,Condominio,IPTU,Price
Barão de Icaraí,160.0,2,3,2,1200.0,433.0,1800000.0
Barão de Icaraí,100.0,2,1,2,950.0,280.0,1050000.0
Barão de Icaraí,78.0,2,2,1,790.0,2202.0,949999.0
Barão de Icaraí,102.0,3,2,1,1100.0,214.0,973000.0
Barão de Icaraí,130.0,3,2,1,1650.0,295.0,1150000.0
Barão de Icaraí,78.0,2,4,1,796.0,1920.0,1000000.0
Barão de Icaraí,165.0,3,3,1,2000.0,350.0,1680000.0
Barão de Icaraí,78.0,2,2,1,760.0,1920.0,990000.0
Barão de Icaraí,85.0,2,3,1,796.0,192.0,1110000.0
Barão de Icaraí,130.0,3,3,1,1988.0,252.0,1090000.0
Barão de Icaraí,70.0,2,2,0,750.0,1400.0,700000.0
Barão de Icaraí,80.0,2,3,1,790.0,2000.0,950000.0
Barão de Icaraí,80.0,2,3,1,760.0,2370.0,930000.0
Barão de Icaraí,78.0,2,2,1,790.0,2310.0,990000.0
Barão de Icaraí,175.0,3,4,1,1900.0,4200.0,1550000.0
Barão de Icaraí,90.0,2,2,0,1195.0,201.0,820000.0
Barão de Icaraí,80.0,2,3,1,760.0,237.0,950000.0
Barão de Icaraí,94.0,2,3,1,1230.0,2200.0,900000.0
Barão de Icaraí,86.0,2,1,1,700.0,1920.0,1200000.0
Barão de Icaraí,100.0,3,2,1,1100.0,2301.0,980000.0
Barão de Icaraí,150.0,3,2,2,2500.0,4450.0,1450000.0
Barão de Icaraí,150.0,3,3,1,2520.0,4231.0,1350000.0
Barão de Icaraí,102.0,3,2,1,1100.0,2301.0,980000.0
Barão de Icaraí,175.0,3,3,1,2100.0,4200.0,1680000.0
Barão de Icaraí,167.0,3,2,1,1700.0,3450.0,1600000.0
Barão de Icaraí,175.0,3,4,1,1900.0,4206.0,1680000.0
Barão de Icaraí,175.0,3,4,1,1750.0,4680.0,1850000.0
Barão de Icaraí,70.0,2,2,1,750.0,1450.0,700000.0
Barão de Icaraí,116.0,3,3,2,1400.0,3257.0,1300000.0
Barão de Icaraí,150.0,3,1,2,2300.0,4444.0,1700000.0
Barão de Icaraí,170.0,3,4,1,1632.0,,1650000.0
Barão de Icaraí,114.0,3,2,2,2000.0,2471.0,1495000.0
Barão de Icaraí,175.0,3,4,1,1700.0,421.0,1680000.0
Barão de Icaraí,102.0,3,2,1,1200.0,2301.0,1200000.0
Barão de Icaraí,78.0,2,1,1,680.0,2368.0,1100000.0
Barão de Icaraí,70.0,2,11,0,650.0,,750000.0
Barão de Icaraí,167.0,3,3,1,1700.0,350.0,1680000.0
Barão de Icaraí,175.0,3,3,1,1700.0,4371.0,1680000.0
Barão de Icaraí,150.0,3,3,1,2260.0,3909.0,1250000.0
Barão de Icaraí,130.0,3,3,1,2000.0,2653.0,1350000.0
Barão de Icaraí,100.0,3,2,1,1100.0,2140.0,980000.0
Barão de Icaraí,190.0,3,4,1,1700.0,3450.0,1680000.0
Barão de Icaraí,150.0,3,3,1,2250.0,,1350000.0
Barão de Icaraí,167.0,3,3,1,1750.0,4680.0,1650000.0
Barão de Icaraí,175.0,3,2,1,1780.0,4260.0,1680000.0
Barão de Icaraí,150.0,3,3,1,2315.0,,1340000.0
Barão de Icaraí,150.0,3,3,2,2450.0,4444.0,1500000.0
Barão de Icaraí,157.0,3,2,2,2325.0,4440.0,1550000.0
Barão de Icaraí,150.0,3,2,1,2319.0,4444.0,1350000.0
Barão de Icaraí,150.0,3,3,2,2300.0,4000.0,1500000.0
Barão de Icaraí,150.0,3,3,1,2450.0,4013.0,1350000.0
Barão de Icaraí,65.0,2,2,0,641.0,900.0,850000.0
Barão de Icaraí,80.0,2,3,1,760.0,2844.0,980000.0
Barão de Icaraí,102.0,3,1,1,1100.0,2140.0,980000.0
Barão de Icaraí,157.0,3,3,0,2355.0,3990.0,1250000.0
Cruz Lima,210.0,3,2,0,1972.0,5000.0,870000.0
Cruz Lima,79.0,2,3,1,1000.0,214.0,890000.0
Cruz Lima,75.0,2,2,1,1000.0,,898000.0
